user_id,follow_user_id,since
765683b9-0351-41b9-8cbc-a49feb57a0fe,f0d4de1c-97bb-43f8-9793-f15360ff2b85,2024-09-20
24cb5cb0-82da-4d1f-a481-4b078da2a350,93372a13-6431-41b3-a062-efaff946d541,2024-10-15
fd7a43bb-a26d-44d6-95f5-d513de7bb7c3,a2f757ed-e46e-4b13-9137-17ec0e376e99,2024-09-22
bf801961-188d-43d1-b1fb-fb29fa04514f,0df9ec38-4aad-4622-9c77-f513ba9b59e0,2024-10-10
74eabce0-ab32-461d-be6e-aa248fbae373,301f1502-2107-4bb7-b4c3-f33d341f0918,2024-09-29
3218a6ea-76fc-48a9-a7b8-60e77c14e9c0,09dc78ad-92f4-4fd4-9de7-a00220e8f849,2024-10-12
693f719c-4858-4a42-b1e1-7b7fa7f33e06,79f3f279-2052-4c90-b18f-6439649ee202,2024-09-24
4e1c6a0e-e8f7-48ca-be56-a3e02cfdb439,58e41226-3e2f-4ec4-a17d-3c524bb483d2,2024-10-07
2c3f978a-8ddd-4e14-8523-30c22d6196b3,b7793ac2-3066-4dde-9810-bd78abf712d2,2024-09-28
09dc78ad-92f4-4fd4-9de7-a00220e8f849,77789e4d-6897-4515-93f8-b4483e0991da,2024-10-06
1cd2f848-0b32-4a4a-a90e-517be3be966f,c769110c-2e3d-4976-9404-b771f4869f68,2024-09-23
d2517aad-2167-4097-af1b-9d487c294fbd,88be9f7e-5ed2-475d-80f6-897c3f049aef,2024-10-05
49410d70-6982-4f0a-b28d-17f7c11f25d9,516dfda9-db8c-48b3-af55-1e160b05d25f,2024-09-30
5e9f81d4-e70a-44c1-b72b-2393218a3eae,ebb9e125-5b1f-4735-80e3-2756c5ae390a,2024-09-26
3b9df179-9e12-44f3-8e63-647a1efe7ba2,b7793ac2-3066-4dde-9810-bd78abf712d2,2024-09-23
9bd42fe3-f689-4161-8196-a12ca530cc4a,bf801961-188d-43d1-b1fb-fb29fa04514f,2024-10-15
5e9f81d4-e70a-44c1-b72b-2393218a3eae,3f39c121-0525-4941-9ed4-7a84ef1f58da,2024-10-05
d6de9d4d-900a-47d5-9cb0-5f9492f343af,b10e9092-2f34-4cae-94eb-c99b6c2f2649,2024-09-23
301f1502-2107-4bb7-b4c3-f33d341f0918,2c3f978a-8ddd-4e14-8523-30c22d6196b3,2024-10-09
bf801961-188d-43d1-b1fb-fb29fa04514f,3fe46358-389e-4640-94af-735fb96342da,2024-10-02
82983333-6767-4a29-abb7-465210cd5924,a1be0116-5f8c-4c4c-9998-bb884b38c14a,2024-09-21
8db435f0-69d4-40bd-876e-026cb9e01de1,3b9df179-9e12-44f3-8e63-647a1efe7ba2,2024-09-21
58e41226-3e2f-4ec4-a17d-3c524bb483d2,d2517aad-2167-4097-af1b-9d487c294fbd,2024-10-07
7c25480c-66e3-40ba-9736-52fd9b4e3bf5,f4cbd6c6-f592-4c3b-b29c-314adb075ef0,2024-10-11
b7793ac2-3066-4dde-9810-bd78abf712d2,21aacf75-c33a-4108-88f5-8f0e835017c4,2024-10-01
79f3f279-2052-4c90-b18f-6439649ee202,09dc78ad-92f4-4fd4-9de7-a00220e8f849,2024-10-09
b7793ac2-3066-4dde-9810-bd78abf712d2,82983333-6767-4a29-abb7-465210cd5924,2024-10-13
1cd2f848-0b32-4a4a-a90e-517be3be966f,24cb5cb0-82da-4d1f-a481-4b078da2a350,2024-10-10
7fdfb1f0-58bc-4330-9bb4-09ffa0d587a2,8db435f0-69d4-40bd-876e-026cb9e01de1,2024-10-12
49410d70-6982-4f0a-b28d-17f7c11f25d9,0df9ec38-4aad-4622-9c77-f513ba9b59e0,2024-10-10
765683b9-0351-41b9-8cbc-a49feb57a0fe,a2f757ed-e46e-4b13-9137-17ec0e376e99,2024-09-20
c7f140e0-7397-46c1-a959-be4620f80d7f,59c589e0-2075-4fcc-8e27-c3603ab6c7a5,2024-09-26
